bldg_id,in.representative_income,in.sqft..ft2,in.area_median_income,in.bedrooms,in.cec_climate_zone,in.city,in.clothes_washer,in.clothes_washer_presence,in.clothes_washer_usage_level,in.dishwasher_usage_level,in.door_area,in.federal_poverty_level,in.geometry_building_type_acs,in.geometry_building_type_height,in.geometry_building_type_recs,in.geometry_floor_area,in.geometry_floor_area_bin,in.geometry_stories,in.geometry_stories_low_rise,in.heating_fuel,in.hot_water_distribution,in.hot_water_fixtures,in.income,in.income_recs_2020,in.vacancy_status,in.usage_level,in.water_heater_efficiency,in.water_heater_fuel,in.water_heater_in_unit,in.water_heater_location,in.utility_bill_electricity_marginal_rates,in.utility_bill_fuel_oil_marginal_rates,in.utility_bill_natural_gas_fixed_charges,in.utility_bill_natural_gas_marginal_rates,out.electricity.hot_water.energy_savings..kwh,out.site_energy.net.energy_savings..kwh,out.electricity.net.energy_savings..kwh,out.utility_bills.total_bill_savings..usd,out.energy_burden_savings..percentage,out.emissions_reduction.total.aer_mid_case_avg..co2e_kg
71362,139218.0,625.0,100-120%,3,3,"CA, San Mateo",EnergyStar,Yes,80% Usage,80% Usage,20 ft^2,400%+,Single-Family Attached,Single-Family Attached,Single-Family Attached,500-749,0-1499,1,1,Natural Gas,Uninsulated,60% Usage,120000-139999,100000-149999,Occupied,Low,Natural Gas Standard,Natural Gas,Yes,Living Space,0.266971414,3.741846154,4.95,1.964713414,-300.6909180252,2079.6323141391995,-111.66007774620084,117.12000000000012,0.08412705253631,489.31730506120016
71964,67250.0,1228.0,30-60%,2,3,"CA, Daly City",Standard,Yes,80% Usage,80% Usage,20 ft^2,300-400%,Single-Family Detached,Single-Family Detached,Single-Family Detached,1000-1499,0-1499,1,1,Electricity,Uninsulated,70% Usage,60000-69999,60000-99999,Occupied,Low,Natural Gas Premium,Natural Gas,Yes,Outside,0.266971414,3.741846154,4.95,1.964713414,-479.4642708472,2216.2034328523996,-479.46427084720017,52.74000000000001,0.0784237918215611,572.2612058394002
72442,187720.0,3310.0,150%+,4,3,"CA, Daly City",Standard,Yes,120% Usage,120% Usage,20 ft^2,400%+,Single-Family Detached,Single-Family Detached,Single-Family Detached,3000-3999,2500-3999,1,1,Natural Gas,Uninsulated,120% Usage,180000-199999,150000+,Occupied,High,Natural Gas Standard,Natural Gas,Yes,Garage,0.266971414,3.741846154,4.95,1.964713414,-1482.0604020014002,6656.8162885228085,-1422.2739036806015,161.84999999999943,0.0862188365650964,1723.9231614219998
72767,510568.0,3310.0,150%+,4,3,In another census Place,EnergyStar,Yes,100% Usage,100% Usage,20 ft^2,400%+,Single-Family Detached,Single-Family Detached,Single-Family Detached,3000-3999,2500-3999,1,1,Natural Gas,Uninsulated,100% Usage,200000+,150000+,Occupied,Medium,Natural Gas Standard,Natural Gas,Yes,Garage,0.266971414,3.741846154,4.95,1.964713414,-909.3995308306,4972.8299191536025,-892.4014087589985,154.9400000000005,0.0303465943811599,1261.9438685006994
74250,101978.0,623.0,100-120%,1,3,In another census Place,Standard,Yes,120% Usage,120% Usage,20 ft^2,400%+,20 to 49 Unit,"Multi-Family with 5+ Units, 1-3 Stories",Multi-Family with 5+ Units,500-749,0-1499,3,3,Natural Gas,Uninsulated,130% Usage,100000-119999,100000-149999,Occupied,High,Natural Gas Tankless,Natural Gas,No,Conditioned Mechanical Room,0.266971414,3.741846154,4.95,1.964713414,-382.7508176812,1300.9424806178004,-382.7508176811998,10.700000000000044,0.0104924591578572,352.5229181166
75918,22486.0,1228.0,0-30%,3,3,"CA, Redwood City",EnergyStar,Yes,120% Usage,120% Usage,20 ft^2,100-150%,Single-Family Detached,Single-Family Detached,Single-Family Detached,1000-1499,0-1499,1,1,Natural Gas,Uninsulated,120% Usage,20000-24999,20000-39999,Occupied,High,Natural Gas Premium,Natural Gas,Yes,Living Space,0.266971414,3.741846154,4.95,1.964713414,-533.389347764,1195.7299664160018,-499.3931036208014,-19.63000000000011,-0.0872987636751769,341.52783906779996
76497,64828.0,854.0,30-60%,2,3,"CA, San Mateo",,,120% Usage,120% Usage,20 ft^2,400%+,20 to 49 Unit,"Multi-Family with 5+ Units, 1-3 Stories",Multi-Family with 5+ Units,750-999,0-1499,3,3,Electricity,Uninsulated,110% Usage,60000-69999,60000-99999,Occupied,High,Natural Gas Tankless,Natural Gas,No,Conditioned Mechanical Room,0.266971414,3.741846154,4.95,1.964713414,-345.2377206956,889.1776269867987,-345.23772069560073,49.98000000000002,0.0770963164064908,252.51487237900005
76739,353551.0,1228.0,150%+,2,3,"CA, Redwood City",EnergyStar,Yes,80% Usage,80% Usage,20 ft^2,400%+,Single-Family Detached,Single-Family Detached,Single-Family Detached,1000-1499,0-1499,1,1,Natural Gas,Uninsulated,80% Usage,200000+,150000+,Occupied,Low,Natural Gas Standard,Natural Gas,Yes,Living Space,0.266971414,3.741846154,4.95,1.964713414,-654.7207708268,2213.5657932206013,-573.5400843813986,33.70000000000027,0.009531863861225,584.1589337044998
77390,245486.0,623.0,150%+,1,3,In another census Place,,,100% Usage,100% Usage,20 ft^2,400%+,20 to 49 Unit,"Multi-Family with 5+ Units, 1-3 Stories",Multi-Family with 5+ Units,500-749,0-1499,2,2,Electricity,Uninsulated,90% Usage,200000+,150000+,Occupied,Medium,Natural Gas Premium,Natural Gas,Yes,Outside,0.266971414,3.741846154,4.95,1.964713414,-330.2910961154,1519.5734989869998,-330.29109611540025,35.8599999999999,0.0146077576725351,389.42719333979994
77522,73943.0,1228.0,30-60%,3,3,"CA, San Mateo",Standard,Yes,80% Usage,80% Usage,20 ft^2,400%+,Single-Family Detached,Single-Family Detached,Single-Family Detached,1000-1499,0-1499,1,1,Electricity,Uninsulated,70% Usage,70000-79999,60000-99999,Occupied,Low,Natural Gas Premium,Natural Gas,Yes,Outside,0.266971414,3.741846154,4.95,1.964713414,-456.6047273716,2143.8148785129997,-456.31165630140094,52.46000000000003,0.0709465399023572,553.6684545930998
