bldg_id,in.representative_income,in.sqft..ft2,in.bedrooms,in.cec_climate_zone,in.city,in.clothes_washer,in.clothes_washer_presence,in.door_area,in.geometry_floor_area,in.geometry_floor_area_bin,in.geometry_stories,in.geometry_stories_low_rise,in.heating_fuel,in.hot_water_distribution,in.vacancy_status,in.usage_level,in.water_heater_efficiency,in.water_heater_fuel,in.water_heater_in_unit,in.water_heater_location,in.utility_bill_electricity_marginal_rates,in.utility_bill_fuel_oil_marginal_rates,in.utility_bill_natural_gas_fixed_charges,in.utility_bill_natural_gas_marginal_rates,out.utility_bills.total_bill_savings..usd
219798,259433.0,1698.0,3,3,4.0,2.0,1.0,20.0,1749.5,1999.5,1,1,2.0,0.0,0.0,2.0,4.0,1.0,1.0,2.0,0.266971414,3.741846154,4.95,1.964713414,138.84
220080,272739.0,2179.0,3,3,0.0,1.0,1.0,20.0,2249.5,1999.5,1,1,2.0,0.0,0.0,1.0,4.0,1.0,1.0,2.0,0.266971414,3.741846154,4.95,1.964713414,127.59
220606,152345.0,1698.0,3,3,3.0,2.0,1.0,20.0,1749.5,1999.5,2,2,4.0,0.0,0.0,1.0,8.0,2.0,1.0,5.0,0.266971414,3.741846154,4.95,1.964713414,60.26
220959,33927.0,854.0,2,3,5.0,0.0,0.0,20.0,874.5,749.5,4,4,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.266971414,3.741846154,4.95,1.964713414,413.81
221388,154718.0,1138.0,2,3,5.0,0.0,0.0,20.0,1249.5,749.5,2,2,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.266971414,3.741846154,4.95,1.964713414,711.52
222113,267688.0,1698.0,3,3,5.0,2.0,1.0,20.0,1749.5,1999.5,1,1,2.0,0.0,0.0,0.0,4.0,1.0,1.0,2.0,0.266971414,3.741846154,4.95,1.964713414,103.35
222236,249470.0,5587.0,4,3,1.0,1.0,1.0,20.0,,,1,1,2.0,0.0,0.0,2.0,4.0,1.0,1.0,4.0,0.266971414,3.741846154,4.95,1.964713414,121.43
223909,330065.0,625.0,3,3,0.0,1.0,1.0,20.0,624.5,749.5,1,1,2.0,0.0,0.0,1.0,3.0,1.0,1.0,4.0,0.266971414,3.741846154,4.95,1.964713414,-16.1800000000001
224889,139818.0,1698.0,3,3,5.0,1.0,1.0,20.0,1749.5,1999.5,1,1,2.0,0.0,0.0,2.0,4.0,1.0,1.0,2.0,0.266971414,3.741846154,4.95,1.964713414,210.92
225377,272739.0,1698.0,3,3,5.0,1.0,1.0,20.0,1749.5,1999.5,2,2,2.0,0.0,0.0,2.0,4.0,1.0,1.0,2.0,0.266971414,3.741846154,4.95,1.964713414,139.77
225600,36736.0,1698.0,2,3,5.0,2.0,1.0,20.0,1749.5,1999.5,1,1,2.0,0.0,0.0,1.0,1.0,0.0,1.0,5.0,0.266971414,3.741846154,4.95,1.964713414,531.27
225944,52604.0,854.0,2,3,5.0,0.0,0.0,20.0,874.5,749.5,2,2,1.0,0.0,0.0,1.0,1.0,0.0,1.0,4.0,0.266971414,3.741846154,4.95,1.964713414,204.12
226189,,623.0,2,3,5.0,2.0,1.0,20.0,624.5,749.5,4,4,2.0,0.0,1.0,2.0,4.0,1.0,1.0,4.0,0.266971414,3.741846154,4.95,1.964713414,62.48
226500,272739.0,3310.0,4,3,0.0,2.0,1.0,20.0,3499.5,3249.5,2,2,2.0,0.0,0.0,1.0,4.0,1.0,1.0,2.0,0.266971414,3.741846154,4.95,1.964713414,59.6600000000003
227064,301023.0,1228.0,3,3,3.0,1.0,1.0,20.0,1249.5,749.5,1,1,2.0,0.0,0.0,1.0,4.0,1.0,1.0,4.0,0.266971414,3.741846154,4.95,1.964713414,82.8499999999999
227084,113463.0,1138.0,1,3,2.0,2.0,1.0,20.0,1249.5,749.5,4,4,2.0,0.0,0.0,0.0,5.0,1.0,1.0,4.0,0.266971414,3.741846154,4.95,1.964713414,79.0900000000002
227159,,623.0,1,3,5.0,0.0,0.0,20.0,624.5,749.5,3,3,2.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,0.266971414,3.741846154,4.95,1.964713414,15.91
227466,399323.0,1698.0,3,3,5.0,2.0,1.0,20.0,1749.5,1999.5,2,2,2.0,0.0,0.0,2.0,1.0,0.0,1.0,5.0,0.266971414,3.741846154,4.95,1.964713414,414.48
227629,97984.0,1138.0,2,3,4.0,0.0,0.0,20.0,1249.5,749.5,2,2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.266971414,3.741846154,4.95,1.964713414,463.55
227771,124549.0,1698.0,4,3,2.0,2.0,1.0,20.0,1749.5,1999.5,1,1,2.0,0.0,0.0,2.0,5.0,1.0,1.0,2.0,0.266971414,3.741846154,4.95,1.964713414,88.8400000000002
